epoch,train_acc,test_acc,train_loss,test_loss
1,0.37144000,0.30640000,1.72894647,2.08036349
2,0.49828000,0.47970000,1.37108834,1.48127678
3,0.56248000,0.48310000,1.22030391,1.57080233
4,0.59948000,0.52120000,1.12853943,1.47365036
5,0.62548000,0.49060000,1.06133181,1.52495875
6,0.64800000,0.58740000,0.99814750,1.19751545
7,0.66540000,0.52920000,0.95436736,1.43155162
8,0.67892000,0.55980000,0.91769065,1.33145746
9,0.69278000,0.50110000,0.88643220,1.48438054
10,0.70490000,0.57710000,0.84857362,1.21847302
11,0.71758000,0.62140000,0.81711373,1.06404951
12,0.72904000,0.63310000,0.78596748,1.08594535
13,0.73584000,0.56470000,0.76586734,1.43188270
14,0.74436000,0.55270000,0.74365905,1.62393023
15,0.75360000,0.64280000,0.71796267,1.12667769
16,0.75590000,0.63460000,0.70473664,1.11774932
17,0.76482000,0.65840000,0.69117742,1.04789637
18,0.76784000,0.66410000,0.66801178,1.02612511
19,0.78016000,0.62880000,0.64738568,1.11426332
20,0.78342000,0.61990000,0.63372035,1.24138029
21,0.78558000,0.65050000,0.62259948,1.07266849
22,0.79128000,0.68750000,0.60693006,0.98664916
23,0.79540000,0.63920000,0.59752898,1.25450153
24,0.80078000,0.58910000,0.58651901,1.41425288
25,0.79924000,0.68130000,0.58519683,0.99068444
26,0.80714000,0.71080000,0.56672305,0.88975021
27,0.81042000,0.67280000,0.55489662,1.04353752
28,0.81350000,0.65680000,0.54377689,1.06963606
29,0.81836000,0.68840000,0.53514981,0.96170624
30,0.81968000,0.69400000,0.52498679,0.91815357
31,0.82324000,0.69190000,0.51788725,0.92585355
32,0.82620000,0.70930000,0.50868352,0.91748572
33,0.82836000,0.71900000,0.49991885,0.87552435
34,0.82950000,0.65830000,0.49829759,1.08697352
35,0.83298000,0.64870000,0.48898514,1.09843523
36,0.83570000,0.69480000,0.48181626,0.91447166
37,0.83790000,0.71990000,0.47465374,0.91177332
38,0.84144000,0.65810000,0.46702187,1.14668853
39,0.84260000,0.69870000,0.45990602,0.95649417
40,0.84474000,0.66920000,0.45094451,1.01317677
41,0.84632000,0.71370000,0.44741704,0.89490628
42,0.84904000,0.71410000,0.44104955,0.91406885
43,0.85034000,0.65390000,0.43517756,1.10981263
44,0.85320000,0.72010000,0.42561462,0.90638368
45,0.85632000,0.72450000,0.42061212,0.91177064
46,0.85560000,0.65410000,0.41549530,1.07519649
47,0.85684000,0.66370000,0.41263238,1.12521307
48,0.85988000,0.70360000,0.40464679,0.97750689
49,0.86078000,0.72610000,0.40329533,0.86916988
50,0.86464000,0.75980000,0.39414038,0.78168440
51,0.86730000,0.73100000,0.38481836,0.89561603
52,0.86632000,0.72410000,0.38669500,0.93760475
53,0.87036000,0.71560000,0.37832139,0.94144392
54,0.87114000,0.74530000,0.37484165,0.86052949
55,0.87034000,0.74310000,0.37268060,0.84318169
56,0.87248000,0.73360000,0.37024465,0.87909562
57,0.87638000,0.74100000,0.36049229,0.84706579
58,0.87752000,0.73260000,0.35639290,0.93256576
59,0.87764000,0.74580000,0.35596851,0.83446579
60,0.87754000,0.68920000,0.35307230,1.08261772
61,0.87884000,0.73800000,0.34810387,0.86990723
62,0.88236000,0.71790000,0.34381224,0.94139026
63,0.88368000,0.73910000,0.33680669,0.87484672
64,0.88494000,0.73000000,0.33188864,0.90900925
65,0.88714000,0.74270000,0.33006331,0.86520821
66,0.88952000,0.73670000,0.32288890,0.88471700
67,0.88952000,0.73270000,0.32041167,0.89356091
68,0.89144000,0.74100000,0.31968354,0.88144283
69,0.88870000,0.73440000,0.31794254,0.89233694
70,0.89034000,0.73680000,0.31683280,0.88914016
71,0.89456000,0.74330000,0.30916998,0.87043963
72,0.89310000,0.74170000,0.31280891,0.87102844
73,0.89376000,0.74460000,0.30421018,0.86853881
74,0.89568000,0.74230000,0.30031375,0.88294111
75,0.89582000,0.74020000,0.29781225,0.89241275
76,0.89752000,0.74380000,0.29755459,0.90035275
77,0.89564000,0.74030000,0.29792207,0.89187331
78,0.89910000,0.72830000,0.29176468,0.93752555
79,0.89726000,0.74270000,0.29622509,0.88580385
80,0.89976000,0.74160000,0.28839944,0.91244124
81,0.89826000,0.73360000,0.29176164,0.92623906
82,0.90020000,0.74840000,0.28852203,0.85869352
83,0.90124000,0.74650000,0.28160981,0.88072676
84,0.90216000,0.74740000,0.28208905,0.86219981
85,0.90196000,0.75460000,0.28073053,0.85512473
86,0.90284000,0.74890000,0.28358088,0.88186148
87,0.90492000,0.74960000,0.27609039,0.87069709
88,0.90428000,0.74200000,0.27671175,0.90312827
89,0.90334000,0.75060000,0.27859237,0.87462802
90,0.90256000,0.75020000,0.27548139,0.88147213
91,0.90296000,0.75090000,0.27773074,0.87495346
92,0.90324000,0.75390000,0.27703025,0.85957333
93,0.90544000,0.74990000,0.27018786,0.88241466
94,0.90590000,0.74980000,0.27108664,0.88286546
