epoch,train_acc,test_acc,train_loss,test_loss
123,0.90390000,0.73520000,0.27517680,0.91400437
124,0.90626000,0.73700000,0.27312454,0.91099297
125,0.90476000,0.73750000,0.27498853,0.91345507
126,0.90486000,0.74290000,0.27484375,0.89317683
127,0.90402000,0.74210000,0.27801112,0.88884383
128,0.90206000,0.73750000,0.28090516,0.90464384
129,0.90178000,0.74030000,0.27904152,0.89210140
130,0.90226000,0.73060000,0.28242183,0.91079668
131,0.90186000,0.73080000,0.28178316,0.94502441
132,0.90040000,0.74470000,0.28415411,0.88592524
133,0.90186000,0.73670000,0.28388870,0.93115845
134,0.90222000,0.73300000,0.28217275,0.93590347
135,0.90322000,0.73530000,0.27994114,0.96391112
136,0.90306000,0.73260000,0.28115713,0.95929910
137,0.89862000,0.71890000,0.28953350,1.03367041
138,0.90150000,0.74310000,0.28696868,0.89214869
139,0.90032000,0.75240000,0.28696554,0.86994355
140,0.90244000,0.75040000,0.28597120,0.89830921
141,0.89898000,0.73230000,0.28621353,0.94233000
142,0.89954000,0.71750000,0.29211105,1.03532188
143,0.89944000,0.69550000,0.28920070,1.17049738
144,0.89954000,0.73960000,0.28900896,0.91075058
145,0.89790000,0.73320000,0.29091905,0.96138035
146,0.89584000,0.73230000,0.29775974,0.97463865
147,0.89820000,0.73280000,0.29338455,0.94012768
148,0.89892000,0.71940000,0.29027532,1.00289684
149,0.89760000,0.72470000,0.29365728,0.94741624
150,0.89564000,0.74830000,0.30252135,0.86957171
151,0.89532000,0.73230000,0.30479527,0.94825812
152,0.89776000,0.74920000,0.29357860,0.88777930
153,0.89602000,0.71720000,0.30182929,1.06099876
154,0.89426000,0.72290000,0.30681482,0.98682490
155,0.89440000,0.72150000,0.30139056,1.00179007
156,0.89342000,0.70800000,0.30749417,1.05638886
157,0.89218000,0.72000000,0.30694476,1.01367084
158,0.89240000,0.72770000,0.30745554,1.00033882
159,0.89392000,0.69860000,0.30842369,1.14913636
160,0.89318000,0.71680000,0.31168696,0.97513555
161,0.89256000,0.72570000,0.30884447,0.97231563
162,0.89202000,0.72570000,0.31380046,0.95157698
163,0.89018000,0.73520000,0.31165571,0.88527386
164,0.89236000,0.72180000,0.30927105,1.02599621
165,0.89190000,0.71740000,0.31396282,1.02269809
166,0.89154000,0.74020000,0.31400486,0.88365571
167,0.89280000,0.71440000,0.31271189,0.98248486
168,0.89006000,0.72080000,0.31475284,1.01152147
169,0.89034000,0.74250000,0.31469060,0.86654177
170,0.89132000,0.73220000,0.31719270,0.94271270
171,0.88910000,0.69650000,0.32068149,1.09483248
172,0.89144000,0.71690000,0.31330573,0.99563071
173,0.89106000,0.68090000,0.31760431,1.20954524
174,0.88978000,0.71650000,0.31991929,0.99947554
175,0.89134000,0.72330000,0.31609745,0.97030704
176,0.88860000,0.65050000,0.31945059,1.37899825
177,0.88920000,0.72170000,0.32005224,1.02713992
178,0.88984000,0.72520000,0.32039319,0.93234671
179,0.89104000,0.68500000,0.31502749,1.30183819
180,0.89156000,0.69910000,0.31196129,1.11763311
181,0.88926000,0.71450000,0.32013563,1.06635041
182,0.88888000,0.72810000,0.32073874,0.94443140
183,0.88858000,0.71970000,0.32307805,0.96434330
184,0.88960000,0.71940000,0.31916229,1.07448507
185,0.88908000,0.73690000,0.31740585,0.92668122
186,0.88956000,0.73890000,0.31939714,0.91810337
187,0.88882000,0.72200000,0.32081341,0.97464562
188,0.88898000,0.73770000,0.32031251,0.97186698
189,0.89070000,0.73630000,0.31928823,0.95485643
190,0.89004000,0.68680000,0.31957090,1.07042817
191,0.89172000,0.70580000,0.31543845,1.05391895
192,0.88994000,0.72820000,0.31658458,0.93542352
193,0.89012000,0.73100000,0.31512521,0.95374972
194,0.89084000,0.71460000,0.31548398,1.01651871
195,0.89244000,0.72100000,0.31130792,1.01913839
