epoch,train_acc,test_acc,train_loss,test_loss
1,0.35990000,0.46710000,1.77853018,1.43583587
2,0.48850000,0.52120000,1.40864421,1.33275441
3,0.55392000,0.63980000,1.23988243,0.99919607
4,0.59466000,0.65090000,1.13673334,0.98791430
5,0.62358000,0.67600000,1.06210089,0.89831294
6,0.64336000,0.63340000,1.00981087,1.11291952
7,0.66222000,0.71800000,0.96768133,0.81842574
8,0.67902000,0.67680000,0.92233383,0.96562553
9,0.68988000,0.73350000,0.88908612,0.76899007
10,0.70022000,0.74010000,0.86078364,0.74338765
11,0.71268000,0.73420000,0.82955263,0.75946332
12,0.72490000,0.77110000,0.80085346,0.66934850
13,0.73328000,0.75700000,0.77423528,0.69348702
14,0.73828000,0.77850000,0.75942819,0.63681633
15,0.74682000,0.79480000,0.73745645,0.59544232
16,0.75386000,0.78440000,0.71837937,0.62673274
17,0.76242000,0.80020000,0.69582722,0.57333930
18,0.76732000,0.79190000,0.67716993,0.61281565
19,0.77412000,0.78890000,0.66595849,0.61900561
20,0.77720000,0.78760000,0.65039963,0.66187914
21,0.78408000,0.75170000,0.63339468,0.75032154
22,0.78548000,0.80740000,0.62704556,0.56413504
23,0.78914000,0.82050000,0.61170521,0.52592804
24,0.79824000,0.81350000,0.59544617,0.54692278
25,0.80090000,0.82820000,0.58394504,0.49915440
26,0.80498000,0.82080000,0.57020737,0.53649198
27,0.80852000,0.79510000,0.56562779,0.62148999
28,0.81072000,0.80510000,0.56003068,0.59646124
29,0.81332000,0.81780000,0.54566956,0.55505963
30,0.81654000,0.82570000,0.53603216,0.52307830
31,0.82208000,0.82400000,0.52950744,0.55111796
32,0.82276000,0.83240000,0.52233693,0.48476651
33,0.82562000,0.81440000,0.51624318,0.55657215
34,0.82702000,0.83450000,0.50826326,0.49074992
35,0.83118000,0.81350000,0.49701885,0.56351604
36,0.83122000,0.83370000,0.49454568,0.49433699
37,0.83510000,0.83990000,0.48760036,0.48286434
38,0.83600000,0.85180000,0.48065378,0.44254752
39,0.83698000,0.82820000,0.47725280,0.52533945
40,0.84204000,0.82720000,0.46422710,0.52366430
41,0.84446000,0.83160000,0.45934026,0.51917192
42,0.84722000,0.79520000,0.45321003,0.65652825
43,0.84890000,0.84640000,0.44241702,0.46432840
44,0.84738000,0.83640000,0.44293705,0.50620497
45,0.85196000,0.84750000,0.43422714,0.46835626
46,0.85190000,0.85250000,0.43100706,0.45414533
47,0.85290000,0.82020000,0.42888820,0.59324098
48,0.85450000,0.86240000,0.41949427,0.42568042
49,0.85978000,0.85550000,0.41319506,0.45843397
50,0.86068000,0.85130000,0.40825038,0.45638208
51,0.85964000,0.83430000,0.40833828,0.51514503
52,0.86292000,0.85710000,0.40189447,0.44706701
53,0.86422000,0.85400000,0.39568853,0.45302563
54,0.86816000,0.85830000,0.38875771,0.45095732
55,0.86596000,0.86300000,0.39260648,0.42741888
56,0.86972000,0.86260000,0.38493988,0.44309740
57,0.87014000,0.86250000,0.38047733,0.43770648
58,0.87290000,0.85890000,0.37342957,0.44779048
59,0.87332000,0.86840000,0.37017867,0.42145245
60,0.87224000,0.86740000,0.37088680,0.41819655
61,0.87434000,0.86720000,0.36205947,0.42339785
62,0.87730000,0.87140000,0.35910494,0.41006671
63,0.88120000,0.86610000,0.34924951,0.43791390
64,0.87986000,0.86820000,0.35032491,0.42678679
65,0.87976000,0.86580000,0.34962267,0.42055963
66,0.88080000,0.86710000,0.34399076,0.41982420
67,0.88124000,0.86760000,0.34151683,0.43008470
68,0.88378000,0.86970000,0.33742393,0.42496092
69,0.88644000,0.87320000,0.33493429,0.41049412
70,0.88870000,0.86990000,0.32609798,0.42067685
71,0.88674000,0.87050000,0.32987946,0.41767425
72,0.88762000,0.87230000,0.32485143,0.40532768
73,0.88752000,0.87150000,0.32522588,0.41134697
74,0.88838000,0.87350000,0.32341126,0.41488325
75,0.88920000,0.87350000,0.31682020,0.40645292
76,0.88940000,0.87420000,0.31820077,0.40956761
77,0.89274000,0.87510000,0.31117229,0.41023485
78,0.89230000,0.87490000,0.31296898,0.41191228
79,0.89204000,0.87580000,0.31024826,0.40142350
80,0.89334000,0.87270000,0.30755265,0.40842007
81,0.89458000,0.87600000,0.30631959,0.40386767
82,0.89706000,0.87680000,0.30342932,0.40291164
83,0.89424000,0.87470000,0.30397084,0.40522547
84,0.89506000,0.87800000,0.30173177,0.40393904
85,0.89528000,0.87710000,0.30315382,0.40049682
86,0.89768000,0.87590000,0.29738879,0.40044566
87,0.89804000,0.87650000,0.29480969,0.40128250
88,0.89804000,0.87640000,0.29509095,0.40183186
89,0.89750000,0.87750000,0.29180786,0.40082548
90,0.89666000,0.87730000,0.29716407,0.40120343
91,0.89656000,0.87720000,0.29614468,0.39756708
92,0.89838000,0.87690000,0.29162933,0.40092919
93,0.90080000,0.87800000,0.28858010,0.39815582
94,0.89814000,0.87850000,0.29463700,0.39934147
95,0.90186000,0.87810000,0.28573828,0.39711501
96,0.90000000,0.87880000,0.29071875,0.39923275
97,0.89816000,0.87870000,0.29576291,0.39685183
98,0.90078000,0.87810000,0.28755714,0.39720021
99,0.89868000,0.87860000,0.28921627,0.39914170
100,0.89936000,0.87860000,0.29233003,0.39837708
101,0.89944000,0.87810000,0.28950264,0.39868993
102,0.89938000,0.87960000,0.29027294,0.39927799
103,0.90072000,0.87860000,0.28457352,0.39844149
104,0.89934000,0.87950000,0.28714392,0.39809317
105,0.90076000,0.87900000,0.28963769,0.39900477
106,0.89732000,0.87770000,0.29741706,0.39761960
107,0.89974000,0.87800000,0.29272917,0.39733090
108,0.89996000,0.87920000,0.29186233,0.39939570
109,0.90008000,0.87910000,0.29224268,0.39655402
110,0.89958000,0.87910000,0.28948010,0.39811298
111,0.89892000,0.87650000,0.29303339,0.40188012
112,0.90032000,0.87780000,0.29009677,0.39962359
113,0.89890000,0.87670000,0.29359438,0.39926555
114,0.89948000,0.87860000,0.28911355,0.40189652
115,0.89916000,0.87870000,0.29215095,0.39977700
116,0.89978000,0.87740000,0.29051796,0.40500971
117,0.90038000,0.87690000,0.29034217,0.40086714
118,0.90054000,0.87770000,0.28875665,0.40143488
119,0.90186000,0.87640000,0.28824719,0.40875098
120,0.89878000,0.87820000,0.29250287,0.40472911
121,0.89822000,0.87640000,0.29172693,0.40054987
122,0.89854000,0.87720000,0.29244707,0.39968288
123,0.89990000,0.87590000,0.28515524,0.40683841
124,0.89912000,0.87590000,0.29107462,0.40428111
125,0.89936000,0.87660000,0.29277625,0.39708011
126,0.89870000,0.87550000,0.29172117,0.40682691
127,0.89654000,0.87400000,0.29751201,0.41826508
128,0.89828000,0.87590000,0.29469742,0.40914755
129,0.89748000,0.87210000,0.29497706,0.42199777
130,0.89566000,0.87310000,0.29898779,0.43184002
131,0.89766000,0.87490000,0.29795673,0.40783020
132,0.89598000,0.87460000,0.30011205,0.41824315
133,0.89780000,0.87190000,0.29551494,0.41379018
134,0.89632000,0.86830000,0.29833647,0.43304332
135,0.89620000,0.87310000,0.30006743,0.42657831
136,0.89750000,0.87330000,0.30074445,0.41292384
137,0.89594000,0.87220000,0.30180371,0.42729815
138,0.89694000,0.87540000,0.29810151,0.42532465
139,0.89428000,0.87370000,0.30454425,0.41937470
140,0.89492000,0.87380000,0.30141421,0.41877133
141,0.89272000,0.87000000,0.30738234,0.43267466
142,0.89456000,0.86620000,0.30481407,0.45605690
