epoch,train_acc,test_acc,train_loss,test_loss
1,0.37032000,0.51490000,1.74899588,1.33073453
2,0.50130000,0.54530000,1.37795481,1.24777928
3,0.56272000,0.56910000,1.22100189,1.15088697
4,0.59954000,0.67340000,1.12906581,0.91585668
5,0.62990000,0.68160000,1.05059162,0.89122071
6,0.64790000,0.68990000,1.00121817,0.87344698
7,0.66466000,0.71480000,0.95314639,0.79816331
8,0.67942000,0.73700000,0.91634614,0.75222403
9,0.69324000,0.74250000,0.87675464,0.72329342
10,0.70848000,0.70190000,0.84055988,0.86471826
11,0.71592000,0.69680000,0.82121794,0.88752900
12,0.72644000,0.77470000,0.78983148,0.64106797
13,0.73458000,0.72550000,0.76468954,0.84962041
14,0.74218000,0.78660000,0.74554494,0.61147804
15,0.75020000,0.78790000,0.72642716,0.60142832
16,0.75604000,0.72790000,0.70700890,0.81519449
17,0.76478000,0.80180000,0.68345048,0.57222783
18,0.77008000,0.78490000,0.66728745,0.62008577
19,0.77474000,0.73500000,0.65119967,0.78185797
20,0.77908000,0.76610000,0.64040683,0.68081894
21,0.78504000,0.81440000,0.62638169,0.52519773
22,0.79236000,0.80420000,0.60607503,0.59345544
23,0.79668000,0.78530000,0.59515297,0.64627605
24,0.79930000,0.82240000,0.58836494,0.52493275
25,0.80100000,0.82740000,0.57721710,0.50267687
26,0.80418000,0.80740000,0.57501259,0.58093923
27,0.80906000,0.82040000,0.55587932,0.54641476
28,0.81218000,0.80610000,0.55015401,0.58438041
29,0.81740000,0.79910000,0.53455628,0.62661349
30,0.81966000,0.76160000,0.53014608,0.78305283
31,0.82106000,0.82250000,0.52457730,0.52549572
32,0.82574000,0.79610000,0.51063133,0.62941322
33,0.82624000,0.84380000,0.50609968,0.44920883
34,0.82990000,0.83510000,0.49829913,0.50707740
35,0.83246000,0.84070000,0.49033762,0.47318203
36,0.83426000,0.81690000,0.48587616,0.56109377
37,0.83672000,0.84900000,0.47245213,0.46798273
38,0.83712000,0.84210000,0.47602851,0.47691917
39,0.84104000,0.83810000,0.46393873,0.49387989
40,0.84236000,0.83580000,0.46254054,0.49458519
41,0.84550000,0.83180000,0.44756509,0.51183394
42,0.84684000,0.83460000,0.44851583,0.50370825
43,0.84896000,0.85670000,0.44051406,0.43012833
44,0.84956000,0.85270000,0.43563436,0.44872823
45,0.85170000,0.85150000,0.42841391,0.45841704
46,0.85558000,0.81600000,0.42586684,0.61363326
47,0.85588000,0.85170000,0.42235600,0.45310767
48,0.85558000,0.85630000,0.41544534,0.43272224
49,0.86066000,0.85650000,0.40264982,0.44738565
50,0.86270000,0.84870000,0.40229951,0.46863935
51,0.86492000,0.86490000,0.39261918,0.41479035
52,0.86546000,0.85820000,0.39347504,0.43151565
53,0.86766000,0.86220000,0.38572684,0.42717733
54,0.86764000,0.85330000,0.38397516,0.45338280
55,0.86870000,0.86630000,0.37750669,0.41841341
56,0.87168000,0.85470000,0.37670107,0.47019671
57,0.87172000,0.86860000,0.36896905,0.41488067
58,0.87526000,0.86300000,0.36543029,0.42492440
59,0.87576000,0.85600000,0.35831102,0.44412283
60,0.87760000,0.86670000,0.36059160,0.41537480
61,0.87716000,0.86830000,0.35408860,0.40683970
62,0.87848000,0.86950000,0.34916432,0.40896165
63,0.87896000,0.87340000,0.35195520,0.38712514
64,0.88216000,0.86440000,0.34333226,0.42082286
65,0.88422000,0.85890000,0.33385925,0.44497220
66,0.88300000,0.87270000,0.33801254,0.40882867
67,0.88586000,0.87070000,0.33134703,0.40873131
68,0.88566000,0.87270000,0.32931845,0.40452875
69,0.88786000,0.87040000,0.32701797,0.41744898
70,0.88902000,0.87000000,0.32607586,0.42041362
71,0.88750000,0.86480000,0.32149098,0.43709679
72,0.89128000,0.87620000,0.31530709,0.39717093
73,0.89062000,0.87490000,0.31761238,0.39913658
74,0.89196000,0.87610000,0.31235606,0.39911916
75,0.89318000,0.87690000,0.30831239,0.39319224
76,0.89292000,0.87390000,0.31228477,0.40361199
77,0.89410000,0.87820000,0.30322349,0.39685235
78,0.89550000,0.87810000,0.30439938,0.39631606
79,0.89608000,0.87880000,0.29919052,0.39854266
80,0.89894000,0.87870000,0.29489743,0.40042003
81,0.89706000,0.87870000,0.29605588,0.39404513
82,0.89808000,0.87950000,0.29327100,0.39069008
83,0.89792000,0.87920000,0.29246393,0.39923775
84,0.89884000,0.87640000,0.29062638,0.39630332
85,0.89964000,0.87820000,0.29032531,0.39749760
86,0.90060000,0.88080000,0.28981138,0.39659603
87,0.90056000,0.88040000,0.28772385,0.39353528
88,0.90038000,0.87980000,0.28329628,0.39257588
89,0.90044000,0.88100000,0.28673069,0.39151189
90,0.90322000,0.88100000,0.28245728,0.39591949
91,0.90122000,0.88100000,0.28470634,0.39289309
92,0.90050000,0.88260000,0.28471909,0.39073277
93,0.90020000,0.88120000,0.28444802,0.39322304
94,0.90146000,0.88100000,0.28154005,0.39328771
95,0.90200000,0.88070000,0.28287219,0.39249798
96,0.90350000,0.88120000,0.27770825,0.39204181
97,0.90290000,0.88090000,0.27907117,0.39096731
98,0.90244000,0.88140000,0.28020817,0.39343813
99,0.90322000,0.88110000,0.27986535,0.39163672
100,0.90256000,0.88170000,0.28050310,0.39119639
101,0.90088000,0.88100000,0.28270433,0.39192717
102,0.90140000,0.88080000,0.28195093,0.39125887
103,0.90190000,0.88180000,0.28346391,0.39156137
104,0.90284000,0.88190000,0.28050681,0.39304088
105,0.90242000,0.88070000,0.28050868,0.39209794
106,0.90140000,0.88090000,0.28361678,0.39142125
107,0.90282000,0.88090000,0.28338310,0.39282539
108,0.90172000,0.88050000,0.28257020,0.39147325
109,0.90128000,0.88150000,0.28200399,0.38942844
110,0.90224000,0.88280000,0.28338300,0.38913039
111,0.90102000,0.88080000,0.28535864,0.39367907
